Identificator: OF [2, 1]
Identificator: PROGRAM [2, 4]
Identificator: ART [2, 12]
Arithmetic operator: - [2, 15]
Identificator: L_ [2, 18]
Identificator: L_ [2, 18]
Arithmetic operator: + [2, 20]
Curly bracket: { [2, 21]
Error: 3478884398627714 [2, 22]
Integer number: 714 [2, 38]
Identificator: of_1a [2, 42]
Arithmetic operator: - [2, 47]
Identificator: gS [2, 48]
Arithmetic operator: + [2, 50]
Assignment operator: = [2, 51]
Arithmetic operator: - [2, 52]
Identificator: dL [2, 53]
Identificator: JdE [2, 56]
Identificator: E [2, 58]
Identificator: dZZK [2, 60]
Identificator: K [2, 63]
Comma separator: , [2, 64]
Identificator: IL [2, 65]
Assignment operator: = [3, 0]
Identificator: EL [3, 2]
Identificator: L [3, 3]
Identificator: Ch [3, 5]
Identificator: ARr [3, 8]
Identificator: r [3, 10]
Identificator: Ay [3, 12]
Identificator: y [3, 13]
Identificator: var [3, 15]
Identificator: r [3, 17]
Identificator: i [3, 19]
Identificator: i [3, 19]
Integer number: 4 [3, 21]
Integer number: 4 [3, 21]
Identificator: tYpE4rEE30 [3, 23]
Integer number: 2 [3, 34]
Integer number: 2 [3, 34]
Error: 15rGEu0^c%$peS#i9i[/T[6wQ3A [3, 36]
Identificator: PR [3, 64]
Exponential number: 4.906333172531658877959292713859283369E-5 [3, 67]
Error: 9UF,iO2EPJDffN]Q/1!H)|pARraYmP}OR [3, 109]
Identificator: THEN [3, 143]
Relational operation: <= [5, 0]
String: 'oE@49v %ORAtYPe;*gdO^bEgINBEGINW]zf,{AgH~PGLw\A6BEGINI4qkR9g>e9M<DUS[1eeWPRoCeDuRet5-u+O+hT1KDa-d%EtCU_;`#7U*`ELseY)H"bax|{ $B?eGninYOn,fF BEGIN N2E&J*c\ivELSe18)^+O elSefcVy$XX~ORD(*P2aO#Mja;&v?-lnK_' [5, 2]
Identificator: IF [5, 204]
Relational operation: < [5, 207]
Relational operation: < [5, 207]
Arithmetic operator: + [5, 208]
Identificator: ELSE [5, 209]
Arithmetic operator: - [5, 213]
Identificator: PROGRAM [6, 0]
Semicolon separator: ; [6, 10]
Semicolon separator: ; [6, 10]
Semicolon separator: ; [6, 10]
Colon separator: : [6, 11]
Parenthesis bracket: ( [6, 12]
Identificator: OR [6, 13]
Identificator: VAR [6, 16]
Curly bracket: { [6, 19]
Identificator: vAR [6, 21]
Identificator: TT [6, 25]
Identificator: s [6, 29]
Identificator: s [6, 29]
Identificator: s [6, 29]
Identificator: Ps_ [6, 31]
Error: _ [6, 33]
Curly bracket: { [6, 34]
Parenthesis bracket: ( [6, 35]
Identificator: y0SARRAY [6, 37]
Identificator: Y [6, 44]
Identificator: g [6, 46]
Arithmetic operator: + [6, 47]
Error: 2M [6, 48]
Identificator: p_BPruN3 [6, 51]
Relational operation: < [6, 59]
Identificator: mc5omK [6, 61]
Identificator: K [6, 66]
Error: 5'TYPEH6dYW1> [6, 67]
Relational operation: > [6, 80]
Identificator: WqQW [6, 82]
Relational operation: < [6, 86]
Error: 2"& [6, 87]
Identificator: TYPETYPEP [6, 91]
Square bracket: ] [6, 100]
Identificator: RYOGRA6M [6, 101]
Relational operation: < [6, 109]
Identificator: n [6, 111]
Identificator: n [6, 111]
Identificator: WFW [6, 113]
String: "C'`[+s]?0EGk/B-IF ORG.kuTE Gtypee2I,tM)*q\njvQ IF VAR/eD:T TYPE@o;l#3Mxj`6K~3>o/'	msux/uT VAR7Xb5Pa\MU_ ELSE PeTYPE.zuOF 694872575600076E+41 9p)p~4D]h>.{THEN	;Tb^T OR THEN typeeY;.]<N<rz\n0x'CJ%N)cn7Guj5 VAR :gf\! ARRAYFrJM't:yp;EZIl# proCedURE \END^%2lM)cI0OR|qY8p G" [6, 116]
Square bracket: ] [8, 80]
Identificator: ELSEVARMOF [8, 81]
Relational operation: > [8, 91]
Identificator: ARRaYAjP [8, 93]
Square bracket: [ [8, 101]
Identificator: lbofc [8, 102]
Identificator: OfSiU [8, 110]
Arithmetic operator: + [8, 115]
Semicolon separator: ; [8, 116]
Identificator: p [8, 117]
Arithmetic operator: - [8, 118]
Error: 5@ [8, 119]
Comma separator: , [8, 123]
Comma separator: , [8, 123]
Identificator: KFS [8, 124]
Comma separator: , [8, 127]
Identificator: bAC [8, 128]
Identificator: vARE [8, 132]
Identificator: E [8, 135]
Identificator: W [8, 138]
Identificator: W [8, 138]
Identificator: W [8, 138]
Identificator: Ye [8, 140]
Parenthesis bracket: ( [8, 142]
Error: 0dCudPRA|7Z~KT<(R'Ow)k01G^7 [8, 143]
Identificator: ORa_8RnUqs7PROGRAM [8, 171]
Identificator: K [8, 190]
Identificator: K [8, 190]
Dot: . [8, 192]
Dot: . [8, 192]
Identificator: mx74 [8, 193]
Identificator: IF [8, 199]
Identificator: IF [8, 199]
Identificator: F_ [8, 204]
Identificator: F_ [8, 204]
Dot: . [8, 206]
